channel_config,n_channels,subject,best_acc,aver_acc
full,22,1,0.8507,0.7347
full,22,2,0.5486,0.4425
full,22,3,0.9028,0.7783
full,22,4,0.7118,0.5636
full,22,5,0.4896,0.3661
full,22,6,0.6007,0.4723
full,22,7,0.8438,0.6353
full,22,8,0.8264,0.6873
full,22,9,0.8333,0.7242
central8,8,1,0.7951,0.6740
central8,8,2,0.4410,0.3676
central8,8,3,0.8264,0.7268
central8,8,4,0.6285,0.5133
central8,8,5,0.3819,0.3116
central8,8,6,0.5035,0.4210
central8,8,7,0.7708,0.5826
central8,8,8,0.7813,0.6751
central8,8,9,0.8090,0.6933
c3czc4,3,1,0.7431,0.6552
c3czc4,3,2,0.5278,0.4507
c3czc4,3,3,0.7361,0.6701
c3czc4,3,4,0.5069,0.4357
c3czc4,3,5,0.3438,0.3007
c3czc4,3,6,0.5243,0.4624
c3czc4,3,7,0.5938,0.4900
c3czc4,3,8,0.6354,0.5612
c3czc4,3,9,0.7083,0.6273
c3c4,2,1,0.5833,0.5160
c3c4,2,2,0.3993,0.3478
c3c4,2,3,0.6771,0.6254
c3c4,2,4,0.4653,0.4103
c3c4,2,5,0.3194,0.2758
c3c4,2,6,0.4410,0.3930
c3c4,2,7,0.4965,0.4248
c3c4,2,8,0.4861,0.4398
c3c4,2,9,0.6076,0.5637
